"ProbeID" "X" "Y" "Z" "hemi" "rgbx" "rgby" "rgbz" "moda" "ROINb" "ROIlabel" "SumR2_ADNI1" "SumR2_ADNI2GO3" "SumR2_AIBL" "SumR2_UKB" "SumR2_AVERAGE"
"LogJacs_10_110" 147.11055 111.770531 97.060745 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 536.959027485804 555.576013859541 696.454901753693 422.970790201535 552.990183325143
"LogJacs_10_1100" 145.892578 101.557533 108.409744 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 431.097956102759 375.520883037795 571.767068122265 382.877944173151 440.315962858992
"LogJacs_10_1101" 129.733566 101.765526 108.973755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 694.626803937423 620.353795399153 698.672532061098 414.953085912175 607.151554327462
"LogJacs_10_1102" 146.547562 102.667534 109.062744 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 396.679432287352 367.078307253347 541.1070263561 375.54051591769 420.101320453622
"LogJacs_10_1103" 129.384552 102.557526 108.813766 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 673.979179976405 603.920742569102 720.209968907356 399.491771694999 599.400415786965
"LogJacs_10_1104" 146.970566 103.626534 109.704758 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 387.415195151088 368.513680564878 499.464483418033 363.134949379764 404.632077128441
"LogJacs_10_1105" 128.919556 103.448524 108.945755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 516.888730548134 481.266082977779 627.847739434006 309.883098274956 483.971412808719
"LogJacs_10_1106" 128.68956 104.046524 108.921753 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 428.689956012888 401.860117920477 544.618162170229 259.013628349939 408.545466113383
"LogJacs_10_1107" 147.431564 104.413536 109.559753 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 391.80774583368 383.769140467536 491.667073886876 364.95083705684 408.048699311233
"LogJacs_10_1108" 147.763565 105.200531 108.808746 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 394.608445085773 413.225459567232 495.688415365409 365.996255637318 417.379643913933
"LogJacs_10_1109" 128.471558 104.323524 109.178757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 378.254668636149 349.377960773399 496.269655682574 228.366451472425 363.067184141137
"LogJacs_10_111" 147.330536 110.510536 97.378754 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 518.09446609604 534.406348558401 658.378402134509 420.678009100626 532.889306472394
